,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
5,Massadio Haïdara,Nancy,21,"D(CL),M(L)",17,17,1456,0,2,0,7.06,2012-13,FRA Ligue 1
6,Moustapha Bayal Sall,Saint-Etienne,28,D(C),23,21,1921,0,0,0,7.06,2012-13,FRA Ligue 1
7,Kurt Zouma,Saint-Etienne,19,D(CR),18,18,1550,2,0,0,7.05,2012-13,FRA Ligue 1
8,Renato Civelli,Nice,30,D(C),34,34,3060,5,2,3,7.05,2012-13,FRA Ligue 1
9,Zoumana Camara,PSG,34,D(C),6,5,424,0,0,0,7.05,2012-13,FRA Ligue 1
0,Henri Bedimo,Montpellier,29,D(L),32,29,2687,0,2,1,7.05,2012-13,FRA Ligue 1
1,Julian Palmieri,SC Bastia,27,"D(L),M(L)",35,30,2736,1,2,1,7.04,2012-13,FRA Ligue 1
2,Franck Signorino,Reims,32,"D(L),M(L)",22,20,1806,0,1,1,7.04,2012-13,FRA Ligue 1
3,Saber Khalifa,Evian,27,"AM(LR),FW",25,21,2004,13,3,3,7.04,2012-13,FRA Ligue 1
4,Betão,Evian,30,D(C),16,16,1440,1,1,0,7.04,2012-13,FRA Ligue 1
5,Ryad Boudebouz,Sochaux,23,"M(CLR),FW",32,26,2382,3,7,2,7.03,2012-13,FRA Ligue 1
6,Michel Bastos,Lyon,30,"D(L),M(CLR)",12,7,724,5,0,1,7.03,2012-13,FRA Ligue 1
7,Ricardo Faty,AC Ajaccio,27,"D(C),DMC",25,22,1908,2,0,0,7.03,2012-13,FRA Ligue 1
8,Kévin Théophile-Catherine,Rennes,24,D(CLR),29,29,2610,1,2,1,7.03,2012-13,FRA Ligue 1
9,Benjamin Stambouli,Montpellier,23,"D(CR),M(C)",21,18,1688,1,1,1,7.03,2012-13,FRA Ligue 1
0,Jérémy Clément,Saint-Etienne,29,M(C),26,26,2228,0,0,1,7.03,2012-13,FRA Ligue 1
1,Bakary Koné,Lyon,25,D(C),14,14,1260,1,0,1,7.02,2012-13,FRA Ligue 1
2,Cédric Kanté,Sochaux,34,D(C),30,29,2624,1,0,1,7.02,2012-13,FRA Ligue 1
3,Clément Grenier,Lyon,23,M(CL),28,20,1804,7,6,3,7.02,2012-13,FRA Ligue 1
4,Daniel Congré,Montpellier,28,D(CLR),36,35,3179,1,2,2,7.02,2012-13,FRA Ligue 1
5,Olivier Sorlin,Evian,34,M(C),36,36,3182,0,3,2,7.02,2012-13,FRA Ligue 1
6,Adil Hermach,Toulouse,27,M(C),9,7,612,0,0,1,7.02,2012-13,FRA Ligue 1
