Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
2015,Silvan Widmer,Right-Back,21,Switzerland,Udinese,Italy Serie A,38,2,7,9
2015,Juanfran Torres,Right-Back,29,Spain,Atlético Madrid,Spain LaLiga,50,0,9,9
2015,Gonzalo Rodríguez,Centre-Back,30,Argentina,Fiorentina,Italy Serie A,43,8,0,8
2015,Gerard Piqué,Centre-Back,27,Spain,Barcelona,Spain LaLiga,44,7,1,8
2015,Neymar,Attacking Midfield,22,Brazil,Barcelona,Spain LaLiga,51,39,10,49
2015,Kevin De Bruyne,Attacking Midfield,23,Belgium,VfL Wolfsburg,Germany Bundesliga,51,16,28,44
2015,James Rodríguez,Attacking Midfield,22,Colombia,Real Madrid,Spain LaLiga,45,17,18,35
2015,Marek Hamsik,Central Midfield,26,Slovakia,Napoli,Italy Serie A,54,13,16,29
2015,Cesc Fàbregas,Central Midfield,27,Spain,Chelsea,England Premier League,47,5,24,29
2015,Nabil Fekir,Attacking Midfield,20,France,Olympique Lyon,France Ligue 1,39,15,13,28
2015,Dimitri Payet,Attacking Midfield,27,France,Marseille,France Ligue 1,38,7,21,28
2015,David Silva,Attacking Midfield,28,Spain,Man City,England Premier League,42,12,13,25
2015,Antonio Candreva,Attacking Midfield,27,Italy,Lazio,Italy Serie A,38,11,14,25
2015,Hakan Çalhanoğlu,Defensive Midfield,20,Türkiye,B. Leverkusen,Germany Bundesliga,47,13,11,24
2015,Santi Cazorla,Central Midfield,29,Spain,Arsenal,England Premier League,53,8,15,23
2015,Javier Pastore,Attacking Midfield,25,Argentina,Paris SG,France Ligue 1,51,6,17,23
2015,Mario Götze,Attacking Midfield,22,Germany,Bayern Munich,Germany Bundesliga,48,15,7,22
2015,Zlatko Junuzovic,Central Midfield,26,Austria,Werder Bremen,Germany Bundesliga,35,6,16,22
2015,Koke,Central Midfield,22,Spain,Atlético Madrid,Spain LaLiga,49,4,18,22
2015,Franco Vázquez,Attacking Midfield,25,Argentina,US Palermo,Italy Serie A,38,10,11,21
2015,Jordan Henderson,Defensive Midfield,24,England,Liverpool,England Premier League,54,7,14,21
2015,Dani Parejo,Central Midfield,25,Spain,Valencia,Spain LaLiga,37,11,8,19
2015,Aaron Ramsey,Central Midfield,23,Wales,Arsenal,England Premier League,41,10,8,18
2015,Ivan Rakitic,Central Midfield,26,Croatia,Barcelona,Spain LaLiga,51,8,10,18
2015,Jonathan Schmid,Right Midfield,24,France,SC Freiburg,Germany Bundesliga,37,5,13,18
2015,Christian Eriksen,Central Midfield,22,Denmark,Tottenham,England Premier League,48,12,5,17
2015,Marco Reus,Attacking Midfield,25,Germany,Bor. Dortmund,Germany Bundesliga,29,11,6,17
2015,Paul Pogba,Central Midfield,21,France,Juventus,Italy Serie A,41,10,7,17
2015,Lionel Messi,Right Winger,27,Argentina,Barcelona,Spain LaLiga,57,58,31,89
2015,Cristiano Ronaldo,Centre-Forward,29,Portugal,Real Madrid,Spain LaLiga,52,61,21,82
2015,Luis Suárez,Centre-Forward,27,Uruguay,Barcelona,Spain LaLiga,43,25,23,48
2015,Sergio Agüero,Centre-Forward,26,Argentina,Man City,England Premier League,42,32,9,41
2015,Gonzalo Higuaín,Centre-Forward,26,Argentina,Napoli,Italy Serie A,58,29,11,40
2015,Alexandre Lacazette,Centre-Forward,23,France,Olympique Lyon,France Ligue 1,40,31,8,39
2015,Carlos Tevez,Centre-Forward,30,Argentina,Juventus,Italy Serie A,48,29,10,39
2015,Thomas Müller,Second Striker,24,Germany,Bayern Munich,Germany Bundesliga,48,21,18,39
2015,Zlatan Ibrahimović,Centre-Forward,32,Sweden,Paris SG,France Ligue 1,37,30,8,38
2015,Carlos Bacca,Centre-Forward,27,Colombia,Sevilla FC,Spain LaLiga,56,28,10,38
2015,Robert Lewandowski,Centre-Forward,25,Poland,Bayern Munich,Germany Bundesliga,49,25,13,38
2015,Harry Kane,Centre-Forward,20,England,Tottenham,England Premier League,51,31,6,37
2015,Alexis Sánchez,Centre-Forward,25,Chile,Arsenal,England Premier League,52,25,12,37
2015,Mauro Icardi,Centre-Forward,21,Argentina,Inter,Italy Serie A,48,27,9,36
2015,Pierre-Emerick Aubameyang,Centre-Forward,25,Gabon,Bor. Dortmund,Germany Bundesliga,46,25,11,36
2015,Karim Benzema,Centre-Forward,26,France,Real Madrid,Spain LaLiga,44,21,14,35
2015,Claudio Beauvue,Centre-Forward,26,Guadeloupe,Guingamp,France Ligue 1,52,27,7,34
2015,Edinson Cavani,Centre-Forward,27,Uruguay,Paris SG,France Ligue 1,53,31,2,33
2015,Aritz Aduriz,Centre-Forward,33,Spain,Athletic,Spain LaLiga,48,26,7,33
2015,Eden Hazard,Left Winger,23,Belgium,Chelsea,England Premier League,52,19,13,32
2015,Antoine Griezmann,Centre-Forward,23,France,Atlético Madrid,Spain LaLiga,53,25,6,31
2015,Luciano Vietto,Centre-Forward,20,Argentina,Villarreal,Spain LaLiga,48,20,8,28
2015,Arjen Robben,Right Winger,30,Netherlands,Bayern Munich,Germany Bundesliga,30,19,9,28
2015,Domenico Berardi,Right Winger,19,Italy,Sassuolo,Italy Serie A,34,15,13,28
2015,Romelu Lukaku,Centre-Forward,21,Belgium,Everton,England Premier League,48,20,7,27
2016,Matthias Ginter,Centre-Back,21,Germany,Bor. Dortmund,Germany Bundesliga,40,4,10,14
2016,Lucas Vázquez,Right-Back,24,Spain,Real Madrid,Spain LaLiga,33,4,10,14
2016,Alessandro Florenzi,Right-Back,24,Italy,AS Roma,Italy Serie A,42,8,3,11
2016,Layvin Kurzawa,Left-Back,22,France,Multiple clubs,N/A,31,6,5,11
2016,Paul Verhaegh,Right-Back,31,Netherlands,FC Augsburg,Germany Bundesliga,35,7,3,10
2016,Mitchell Weiser,Right-Back,21,Germany,Hertha BSC,Germany Bundesliga,33,2,8,10
2016,Jordi Alba,Left-Back,26,Spain,Barcelona,Spain LaLiga,43,1,9,10
2016,Jesús Navas,Right-Back,29,Spain,Man City,England Premier League,52,1,9,10
2016,Djibril Sidibé,Right-Back,22,France,LOSC Lille,France Ligue 1,43,6,3,9
2016,Patrick van Aanholt,Left-Back,24,Netherlands,Sunderland,England Premier League,36,5,4,9
2016,Joel Matip,Centre-Back,23,Cameroon,FC Schalke 04,Germany Bundesliga,41,4,5,9
2016,Maxwell,Left-Back,33,Brazil,Paris SG,France Ligue 1,42,3,6,9
2016,Konstantin Rausch,Left-Back,25,Russia,Darmstadt 98,Germany Bundesliga,33,3,6,9
2016,Bruno Peres,Right-Back,25,Brazil,Torino,Italy Serie A,33,3,6,9
2016,Lukasz Piszczek,Right-Back,30,Poland,Bor. Dortmund,Germany Bundesliga,38,2,7,9
2016,Héctor Bellerín,Right-Back,20,Spain,Arsenal,England Premier League,44,1,8,9
2016,Dani Alves,Right-Back,32,Brazil,Barcelona,Spain LaLiga,46,1,8,9
2016,Aytac Sulu,Centre-Back,29,Germany,Darmstadt 98,Germany Bundesliga,36,8,0,8
2016,Coke,Right-Back,28,Spain,Sevilla FC,Spain LaLiga,42,5,3,8
2016,Aleksandar Kolarov,Left-Back,29,Serbia,Man City,England Premier League,39,3,5,8
2016,Charlie Daniels,Left-Back,28,England,Bournemouth,England Premier League,39,3,5,8
2016,Danilo,Centre-Back,23,Brazil,Real Madrid,Spain LaLiga,31,2,6,8
2016,Vieirinha,Right-Back,29,Portugal,VfL Wolfsburg,Germany Bundesliga,37,2,6,8
2016,Christophe Jallet,Right-Back,31,France,Olympique Lyon,France Ligue 1,32,2,6,8
2016,Henrikh Mkhitaryan,Central Midfield,26,Armenia,Bor. Dortmund,Germany Bundesliga,52,23,32,55
2016,Neymar,Attacking Midfield,23,Brazil,Barcelona,Spain LaLiga,48,31,23,54
2016,Kevin De Bruyne,Attacking Midfield,24,Belgium,Multiple clubs,N/A,45,17,15,32
2016,Marco Reus,Attacking Midfield,26,Germany,Bor. Dortmund,Germany Bundesliga,43,23,8,31
2016,Lars Stindl,Attacking Midfield,26,Germany,Bor. M'gladbach,Germany Bundesliga,39,14,14,28
2016,Mesut Özil,Attacking Midfield,26,Germany,Arsenal,England Premier League,45,8,20,28
2016,Dimitri Payet,Attacking Midfield,28,France,West Ham,England Premier League,38,12,15,27
2016,Shinji Kagawa,Attacking Midfield,26,Japan,Bor. Dortmund,Germany Bundesliga,46,13,13,26
2016,Hatem Ben Arfa,Attacking Midfield,28,France,OGC Nice,France Ligue 1,37,18,7,25
2016,Ross Barkley,Central Midfield,21,England,Everton,England Premier League,48,12,11,23
2016,Miralem Pjanić,Central Midfield,25,Bosnia-Herzegovina,AS Roma,Italy Serie A,41,12,11,23
2016,Paul Pogba,Central Midfield,22,France,Juventus,Italy Serie A,49,10,13,23
2016,Christian Eriksen,Central Midfield,23,Denmark,Tottenham,England Premier League,47,8,15,23
2016,Koke,Central Midfield,23,Spain,Atlético Madrid,Spain LaLiga,51,5,17,22
2016,James Milner,Central Midfield,29,England,Liverpool,England Premier League,45,7,14,21
2016,Josip Ilicic,Attacking Midfield,27,Slovenia,Fiorentina,Italy Serie A,37,15,5,20
2016,Raúl García,Attacking Midfield,28,Spain,Multiple clubs,N/A,42,11,9,20
2016,Dele Alli,Attacking Midfield,19,England,Tottenham,England Premier League,46,10,10,20
2016,Juan Mata,Attacking Midfield,27,Spain,Man Utd,England Premier League,54,10,10,20
2016,Daniel Didavi,Attacking Midfield,25,Germany,VfB Stuttgart,Germany Bundesliga,34,14,5,19
2016,Philippe Coutinho,Attacking Midfield,23,Brazil,Liverpool,England Premier League,43,12,7,19
2016,Julian Brandt,Attacking Midfield,19,Germany,B. Leverkusen,Germany Bundesliga,44,10,9,19
2016,Hakan Çalhanoğlu,Defensive Midfield,21,Türkiye,B. Leverkusen,Germany Bundesliga,46,8,11,19
2016,Arturo Vidal,Central Midfield,28,Chile,Bayern Munich,Germany Bundesliga,48,7,12,19
2016,Marco Asensio,Attacking Midfield,19,Spain,Espanyol,Spain LaLiga,37,4,15,19
2016,Luis Suárez,Centre-Forward,28,Uruguay,Barcelona,Spain LaLiga,51,54,24,78
2016,Zlatan Ibrahimović,Centre-Forward,33,Sweden,Paris SG,France Ligue 1,51,50,20,70
2016,Cristiano Ronaldo,Centre-Forward,30,Portugal,Real Madrid,Spain LaLiga,48,51,15,66
2016,Lionel Messi,Right Winger,28,Argentina,Barcelona,Spain LaLiga,48,40,24,64
2016,Pierre-Emerick Aubameyang,Centre-Forward,26,Gabon,Bor. Dortmund,Germany Bundesliga,49,39,11,50
2016,Robert Lewandowski,Centre-Forward,26,Poland,Bayern Munich,Germany Bundesliga,51,42,7,49
2016,Aritz Aduriz,Centre-Forward,34,Spain,Athletic,Spain LaLiga,55,36,10,46
2016,Thomas Müller,Second Striker,25,Germany,Bayern Munich,Germany Bundesliga,49,32,13,45
2016,Gonzalo Higuaín,Centre-Forward,27,Argentina,Napoli,Italy Serie A,42,38,3,41
2016,Ángel Di María,Right Winger,27,Argentina,Paris SG,France Ligue 1,47,15,25,40
2016,Antoine Griezmann,Centre-Forward,24,France,Atlético Madrid,Spain LaLiga,54,32,7,39
2016,Kévin Gameiro,Centre-Forward,28,France,Sevilla FC,Spain LaLiga,52,29,7,36
2016,Karim Benzema,Centre-Forward,27,France,Real Madrid,Spain LaLiga,36,28,8,36
2016,Sergio Agüero,Centre-Forward,27,Argentina,Man City,England Premier League,44,29,5,34
2016,Michy Batshuayi,Centre-Forward,21,Belgium,Marseille,France Ligue 1,50,23,10,33
2016,Gareth Bale,Right Winger,25,Wales,Real Madrid,Spain LaLiga,31,19,14,33
2016,Chicharito,Centre-Forward,27,Mexico,Multiple clubs,N/A,43,26,5,31
2016,Romelu Lukaku,Centre-Forward,22,Belgium,Everton,England Premier League,46,25,6,31
2016,Edinson Cavani,Centre-Forward,28,Uruguay,Paris SG,France Ligue 1,52,25,6,31
2016,Jamie Vardy,Centre-Forward,28,England,Leicester,England Premier League,38,24,7,31
2016,Harry Kane,Centre-Forward,21,England,Tottenham,England Premier League,50,28,2,30
2016,Olivier Giroud,Centre-Forward,28,France,Arsenal,England Premier League,53,24,6,30
2016,Paulo Dybala,Second Striker,21,Argentina,Juventus,Italy Serie A,46,23,7,30
2016,Lucas Pérez,Centre-Forward,26,Spain,Multiple clubs,N/A,39,19,11,30
2016,Wissam Ben Yedder,Centre-Forward,24,France,Toulouse,France Ligue 1,41,23,6,29
2017,Lucas Vázquez,Right-Back,25,Spain,Real Madrid,Spain LaLiga,48,4,13,17
2017,Raphaël Guerreiro,Left-Back,22,Portugal,Bor. Dortmund,Germany Bundesliga,35,7,9,16
2017,Marcelo,Left-Back,28,Brazil,Real Madrid,Spain LaLiga,45,3,13,16
2017,Andrea Conti,Right-Back,22,Italy,Atalanta BC,Italy Serie A,35,8,6,14
2017,Dani Alves,Right-Back,33,Brazil,Juventus,Italy Serie A,33,6,7,13
2017,Daniel Carvajal,Right-Back,24,Spain,Real Madrid,Spain LaLiga,39,1,12,13
2017,Sergio Ramos,Centre-Back,30,Spain,Real Madrid,Spain LaLiga,43,10,2,12
2017,David Alaba,Centre-Back,24,Austria,Bayern Munich,Germany Bundesliga,47,5,7,12
2017,Sead Kolasinac,Centre-Back,23,Bosnia-Herzegovina,FC Schalke 04,Germany Bundesliga,36,3,9,12
2017,Alex Sandro,Left-Back,25,Brazil,Juventus,Italy Serie A,43,3,8,11
2017,Mitchell Weiser,Right-Back,22,Germany,Hertha BSC,Germany Bundesliga,21,4,6,10
2017,Layvin Kurzawa,Left-Back,23,France,Paris SG,France Ligue 1,26,3,7,10
2017,Filipe Luís,Left-Back,30,Brazil,Atlético Madrid,Spain LaLiga,48,3,7,10
2017,Faouzi Ghoulam,Left-Back,25,Algeria,Napoli,Italy Serie A,38,0,10,10
2017,Marcos Alonso,Left-Back,25,Spain,Multiple clubs,N/A,37,6,3,9
2017,Andrea Rispoli,Right-Back,27,Italy,US Palermo,Italy Serie A,33,6,3,9
2017,Lukasz Piszczek,Right-Back,31,Poland,Bor. Dortmund,Germany Bundesliga,39,5,4,9
2017,Markus Suttner,Left-Back,29,Austria,FC Ingolstadt,Germany Bundesliga,33,4,5,9
2017,Yuri Berchiche,Left-Back,26,Spain,Real Sociedad,Spain LaLiga,41,3,6,9
2017,Thomas Meunier,Right-Back,24,Belgium,Paris SG,France Ligue 1,36,2,7,9
2017,Mauricio Isla,Right-Back,28,Chile,Cagliari,Italy Serie A,35,1,8,9
2017,Juanfran Moreno,Right-Back,27,Spain,Dep. La Coruña,Spain LaLiga,38,0,9,9
2017,Neymar,Attacking Midfield,24,Brazil,Barcelona,Spain LaLiga,45,20,26,46
2017,Christian Eriksen,Central Midfield,24,Denmark,Tottenham,England Premier League,48,12,24,36
2017,Dele Alli,Attacking Midfield,20,England,Tottenham,England Premier League,50,22,13,35
2017,Marek Hamsik,Central Midfield,28,Slovakia,Napoli,Italy Serie A,49,15,12,27
2017,Mesut Özil,Attacking Midfield,27,Germany,Arsenal,England Premier League,44,12,15,27
2017,Kevin De Bruyne,Attacking Midfield,25,Belgium,Man City,England Premier League,49,7,20,27
2017,Andrej Kramaric,Attacking Midfield,25,Croatia,TSG Hoffenheim,Germany Bundesliga,36,18,8,26
2017,Nabil Fekir,Attacking Midfield,22,France,Olympique Lyon,France Ligue 1,49,14,12,26
2017,Lars Stindl,Attacking Midfield,27,Germany,Bor. M'gladbach,Germany Bundesliga,44,18,7,25
2017,Philippe Coutinho,Attacking Midfield,24,Brazil,Liverpool,England Premier League,36,14,9,23
2017,Raúl García,Attacking Midfield,29,Spain,Athletic,Spain LaLiga,46,14,9,23
2017,James Rodríguez,Attacking Midfield,24,Colombia,Real Madrid,Spain LaLiga,32,11,11,22
2017,Pablo Piatti,Attacking Midfield,27,Argentina,Espanyol,Spain LaLiga,31,10,12,22
2017,Miralem Pjanić,Central Midfield,26,Bosnia-Herzegovina,Juventus,Italy Serie A,47,8,14,22
2017,Corentin Tolisso,Central Midfield,21,France,Olympique Lyon,France Ligue 1,47,14,7,21
2017,Marco Reus,Attacking Midfield,27,Germany,Bor. Dortmund,Germany Bundesliga,24,13,8,21
2017,Adem Ljajić,Attacking Midfield,24,Serbia,Torino,Italy Serie A,36,12,9,21
2017,Ryad Boudebouz,Attacking Midfield,26,Algeria,Montpellier,France Ligue 1,34,11,10,21
2017,Radja Nainggolan,Central Midfield,28,Belgium,AS Roma,Italy Serie A,53,14,6,20
2017,Isco,Attacking Midfield,24,Spain,Real Madrid,Spain LaLiga,41,11,9,20
2017,Cesc Fàbregas,Central Midfield,29,Spain,Chelsea,England Premier League,37,7,13,20
2017,Antonio Candreva,Attacking Midfield,29,Italy,Inter,Italy Serie A,45,8,11,19
2017,Lionel Messi,Right Winger,29,Argentina,Barcelona,Spain LaLiga,52,54,20,74
2017,Luis Suárez,Centre-Forward,29,Uruguay,Barcelona,Spain LaLiga,51,36,20,56
2017,Edinson Cavani,Centre-Forward,29,Uruguay,Paris SG,France Ligue 1,50,49,6,55
2017,Edin Džeko,Centre-Forward,30,Bosnia-Herzegovina,AS Roma,Italy Serie A,51,39,14,53
2017,Robert Lewandowski,Centre-Forward,27,Poland,Bayern Munich,Germany Bundesliga,47,43,9,52
2017,Cristiano Ronaldo,Centre-Forward,31,Portugal,Real Madrid,Spain LaLiga,44,38,12,50
2017,Alexis Sánchez,Centre-Forward,27,Chile,Arsenal,England Premier League,51,30,18,48
2017,Dries Mertens,Second Striker,29,Belgium,Napoli,Italy Serie A,46,34,13,47
2017,Pierre-Emerick Aubameyang,Centre-Forward,27,Gabon,Bor. Dortmund,Germany Bundesliga,46,40,5,45
2017,Alexandre Lacazette,Centre-Forward,25,France,Olympique Lyon,France Ligue 1,45,37,5,42
2017,Harry Kane,Centre-Forward,22,England,Tottenham,England Premier League,38,35,7,42
2017,Sergio Agüero,Centre-Forward,28,Argentina,Man City,England Premier League,45,33,7,40
2017,Zlatan Ibrahimović,Centre-Forward,34,Sweden,Man Utd,England Premier League,46,28,10,38
2017,Antoine Griezmann,Centre-Forward,25,France,Atlético Madrid,Spain LaLiga,53,26,12,38
2017,Gonzalo Higuaín,Centre-Forward,28,Argentina,Juventus,Italy Serie A,55,32,4,36
2017,Mauro Icardi,Centre-Forward,23,Argentina,Inter,Italy Serie A,41,26,8,34
2017,Iago Aspas,Centre-Forward,28,Spain,Celta de Vigo,Spain LaLiga,49,26,8,34
2017,Andrea Belotti,Centre-Forward,22,Italy,Torino,Italy Serie A,38,28,5,33
2017,Romelu Lukaku,Centre-Forward,23,Belgium,Everton,England Premier League,39,26,7,33
2017,Mohamed Salah,Right Winger,24,Egypt,AS Roma,Italy Serie A,41,19,14,33
2017,José Callejón,Right Winger,29,Spain,Napoli,Italy Serie A,49,17,16,33
2017,Ciro Immobile,Centre-Forward,26,Italy,Lazio,Italy Serie A,41,26,5,31
2017,Lorenzo Insigne,Left Winger,25,Italy,Napoli,Italy Serie A,49,20,11,31
2018,Lucas Vázquez,Right-Back,26,Spain,Real Madrid,Spain LaLiga,51,8,15,23
2018,Marius Wolf,Right-Back,22,Germany,E. Frankfurt,Germany Bundesliga,34,6,11,17
2018,Aleksandar Kolarov,Left-Back,31,Serbia,AS Roma,Italy Serie A,47,3,14,17
2018,Marcelo,Left-Back,29,Brazil,Real Madrid,Spain LaLiga,42,5,11,16
2018,Philipp Max,Left-Back,23,Germany,FC Augsburg,Germany Bundesliga,34,2,13,15
2018,Dani Alves,Right-Back,34,Brazil,Paris SG,France Ligue 1,41,5,9,14
2018,Jordi Alba,Left-Back,28,Spain,Barcelona,Spain LaLiga,48,3,11,14
2018,Marcos Alonso,Left-Back,26,Spain,Chelsea,England Premier League,46,8,4,12
2018,Daniel Brosinski,Right-Back,28,Germany,1.FSV Mainz 05,Germany Bundesliga,33,3,9,12
2018,Thomas Meunier,Right-Back,25,Belgium,Paris SG,France Ligue 1,34,5,5,10
2018,Alfonso Pedraza,Left-Back,21,Spain,Alavés,Spain LaLiga,37,4,6,10
2018,César Azpilicueta,Centre-Back,27,Spain,Chelsea,England Premier League,52,3,7,10
2018,Junior Sambia,Right-Back,20,France,Multiple clubs,N/A,35,3,7,10
2018,Lorenzo De Silvestri,Right-Back,29,Italy,Torino,Italy Serie A,39,7,2,9
2018,Naldo,Centre-Back,34,Brazil,FC Schalke 04,Germany Bundesliga,38,7,2,9
2018,Nacho Monreal,Left-Back,31,Spain,Arsenal,England Premier League,38,7,2,9
2018,Sead Kolasinac,Centre-Back,24,Bosnia-Herzegovina,Arsenal,England Premier League,36,5,4,9
2018,Layvin Kurzawa,Left-Back,24,France,Paris SG,France Ligue 1,28,5,4,9
2018,Léo Dubois,Right-Back,22,France,FC Nantes,France Ligue 1,35,4,5,9
2018,Alex Sandro,Left-Back,26,Brazil,Juventus,Italy Serie A,39,4,5,9
2018,Adam Marusic,Right-Back,24,Montenegro,Lazio,Italy Serie A,39,3,6,9
2018,Kenny Lala,Right-Back,25,France,R. Strasbourg,France Ligue 1,37,3,6,9
2018,Kieran Trippier,Right-Back,26,England,Tottenham,England Premier League,35,0,9,9
2018,Stefan de Vrij,Centre-Back,25,Netherlands,Lazio,Italy Serie A,47,7,1,8
2018,Neymar,Attacking Midfield,25,Brazil,Paris SG,France Ligue 1,30,28,16,44
2018,Philippe Coutinho,Attacking Midfield,25,Brazil,Multiple clubs,N/A,42,21,16,37
2018,Kevin De Bruyne,Attacking Midfield,26,Belgium,Man City,England Premier League,52,12,21,33
2018,Dimitri Payet,Attacking Midfield,30,France,Marseille,France Ligue 1,47,10,23,33
2018,Nabil Fekir,Attacking Midfield,23,France,Olympique Lyon,France Ligue 1,40,23,8,31
2018,Luis Alberto,Attacking Midfield,24,Spain,Lazio,Italy Serie A,47,12,19,31
2018,Dele Alli,Attacking Midfield,21,England,Tottenham,England Premier League,50,14,16,30
2018,Christian Eriksen,Central Midfield,25,Denmark,Tottenham,England Premier League,47,14,13,27
2018,Josip Ilicic,Attacking Midfield,29,Slovenia,Atalanta BC,Italy Serie A,41,15,10,25
2018,David Silva,Attacking Midfield,31,Spain,Man City,England Premier League,40,10,14,24
2018,Joshua Kimmich,Defensive Midfield,22,Germany,Bayern Munich,Germany Bundesliga,47,6,17,23
2018,Sergej Milinković-Savić,Central Midfield,22,Serbia,Lazio,Italy Serie A,48,14,8,22
2018,Raúl García,Attacking Midfield,30,Spain,Athletic,Spain LaLiga,48,14,8,22
2018,Andrej Kramaric,Attacking Midfield,26,Croatia,TSG Hoffenheim,Germany Bundesliga,42,13,9,22
2018,Hakan Çalhanoğlu,Defensive Midfield,23,Türkiye,AC Milan,Italy Serie A,45,8,14,22
2018,James Rodríguez,Attacking Midfield,25,Colombia,Bayern Munich,Germany Bundesliga,39,8,14,22
2018,Aaron Ramsey,Central Midfield,26,Wales,Arsenal,England Premier League,32,11,10,21
2018,Jesse Lingard,Attacking Midfield,24,England,Man Utd,England Premier League,48,13,7,20
2018,Malcom,Attacking Midfield,20,Brazil,G. Bordeaux,France Ligue 1,38,12,8,20
2018,Simone Verdi,Attacking Midfield,24,Italy,Bologna,Italy Serie A,35,10,10,20
2018,Julian Brandt,Attacking Midfield,21,Germany,B. Leverkusen,Germany Bundesliga,39,12,7,19
2018,Benjamin Bourigeaud,Central Midfield,23,France,Stade Rennais,France Ligue 1,41,12,7,19
2018,Bernardo Silva,Attacking Midfield,22,Portugal,Man City,England Premier League,53,9,10,19
2018,Isco,Attacking Midfield,25,Spain,Real Madrid,Spain LaLiga,47,9,10,19
2018,Mesut Özil,Attacking Midfield,28,Germany,Arsenal,England Premier League,35,5,14,19
2018,Lionel Messi,Right Winger,30,Argentina,Barcelona,Spain LaLiga,54,45,20,65
2018,Mohamed Salah,Right Winger,25,Egypt,Liverpool,England Premier League,52,44,16,60
2018,Edinson Cavani,Centre-Forward,30,Uruguay,Paris SG,France Ligue 1,48,40,11,51
2018,Luis Suárez,Centre-Forward,30,Uruguay,Barcelona,Spain LaLiga,51,31,20,51
